SubjID,SubjAge,category,category_nr,visSim,artificiality,item,item_nr,picture_id,RT,Response
3,22,Gemüse,5,0,nat,Zwiebel,15,C05I15_Zwiebel_0,2723,gleich
3,22,Werkzeug,25,1,art,Zange,13,C25I13_Zange_0,927,gleich
3,22,Fahrzeug,19,0,art,Fahrrad,4,C19I04_Fahrrad_0,542,länglich
3,22,Insekt,7,0,nat,Fliege,3,C07I03_Fliege_0,972,gleich
3,22,Obst,13,0,nat,Himbeere,5,C13I05_Himbeere_0,1729,gleich
3,22,Vogel,21,1,nat,Taube,12,C21I12_Taube_0,995,länglich
3,22,Gebäude,4,0,art,Pyramide,11,C04I11_Pyramide_0,1230,gleich
3,22,Gemüse,5,0,nat,Spargel,16,C05I16_Spargel_0,957,länglich
3,22,Obst,13,0,nat,Kirsche,7,C13I07_Kirsche_0,321,gleich
3,22,Bekleidung,12,1,art,Uniform,12,C12I12_Uniform_0,308,länglich
3,22,Gemüse,5,0,nat,Brokkoli,4,C05I04_Brokkoli_0,1487,gleich
3,22,Werkzeug,25,1,art,Axt,1,C25I01_Axt_0,306,länglich
3,22,Pflanze,14,1,nat,Rose,17,C14I17_Rose_0,222,gleich
3,22,Fahrzeug,19,0,art,Auto,1,C19I01_Auto_0,1265,gleich
3,22,Elektrogerät,3,1,art,Toaster,9,C03I09_Toaster_0,139,länglich
3,22,Insekt,7,0,nat,Ameise,1,C07I01_Ameise_0,893,gleich
3,22,Fahrzeug,19,0,art,Traktor,12,C19I12_Traktor_0,987,gleich
3,22,Vogel,21,1,nat,Papagei,7,C21I07_Papagei_0,224,länglich
3,22,Werkzeug,25,1,art,Säge,5,C25I05_Säge_0,334,gleich
3,22,Pflanze,14,1,nat,Löwenzahn,10,C14I10_Löwenzahn_0,115,länglich
3,22,Gebäude,4,0,art,Kirche,8,C04I08_Kirche_0,451,länglich
3,22,Insekt,7,0,nat,Marienkäfer,9,C07I09_Marienkäfer_0,738,gleich
3,22,Elektrogerät,3,1,art,Spülmaschine,4,C03I04_Spülmaschine_0,449,gleich
3,22,Huftier,10,1,nat,Kuh,7,C10I07_Kuh_0,685,gleich
3,22,Bekleidung,12,1,art,Hemd,3,C12I03_Hemd_0,508,länglich
3,22,Insekt,7,0,nat,Libelle,7,C07I07_Libelle_0,1949,gleich
3,22,Bekleidung,12,1,art,Mantel,15,C12I15_Mantel_0,588,gleich
