SubjID,SubjAge,category,category_nr,visSim_1sim_0dis,artificiality,item,item_nr,picture_id,RT,Response
3,22,Werkzeug,25,1,art,Säge,5,C25I05_Säge_0,349,gerade
3,22,Pflanze,14,1,nat,Löwenzahn,10,C14I10_Löwenzahn_0,465,gebogen
3,22,Gebäude,4,0,art,Kirche,8,C04I08_Kirche_0,221,gerade
3,22,Insekt,7,0,nat,Marienkäfer,9,C07I09_Marienkäfer_0,225,gebogen
3,22,Elektrogerät,3,1,art,Spülmaschine,4,C03I04_Spülmaschine_0,287,gerade
3,22,Huftier,10,1,nat,Kuh,7,C10I07_Kuh_0,126,gebogen
3,22,Bekleidung,12,1,art,Hemd,3,C12I03_Hemd_0,218,gerade
3,22,Insekt,7,0,nat,Libelle,7,C07I07_Libelle_0,186,gebogen
3,22,Bekleidung,12,1,art,Mantel,15,C12I15_Mantel_0,303,gerade
3,22,Werkzeug,25,1,art,Hammer,3,C25I03_Hammer_0,265,gebogen
3,22,Fahrzeug,19,0,art,Roller,10,C19I10_Roller_0,712,gerade
3,22,Huftier,10,1,nat,Hirsch,4,C10I04_Hirsch_0,527,gebogen
3,22,Geschirr,6,0,art,Teekanne,5,C06I05_Teekanne_0,782,gebogen
3,22,Bekleidung,12,1,art,Bluse,2,C12I02_Bluse_0,957,gebogen
3,22,Obst,13,0,nat,Zitrone,11,C13I11_Zitrone_0,1627,gebogen
3,22,Werkzeug,25,1,art,Schaufel,11,C25I11_Schaufel_0,392,gerade
4,23,Fahrzeug,19,0,art,Auto,1,C19I01_Auto_0,877,gebogen
4,23,Werkzeug,25,1,art,Säge,5,C25I05_Säge_0,523,gerade
4,23,Pflanze,14,1,nat,Tulpe,21,C14I21_Tulpe_0,745,gebogen
4,23,Geschirr,6,0,art,Glas,4,C06I04_Glas_0,480,gerade
4,23,Bekleidung,12,1,art,Uniform,12,C12I12_Uniform_0,1294,gerade
4,23,Obst,13,0,nat,Apfel,1,C13I01_Apfel_0,540,gebogen
4,23,Bekleidung,12,1,art,Jacke,6,C12I06_Jacke_0,799,gerade
4,23,Pflanze,14,1,nat,Palme,16,C14I16_Palme_0,824,gebogen
