aggregator,block_size,image_size,scoring,weights,kendall
mean,14,21,InnerProduct,fixed,0.07881417468092884
mean,14,21,InnerProduct,optimized,0.1495022462920741
mean,14,21,Manhattan,fixed,0.16560017655635703
mean,14,21,Manhattan,optimized,0.25949762315903013
median,14,21,Euclidean,fixed,0.059244961892223454
median,14,21,Euclidean,optimized,0.12627778997972045
median,14,21,InnerProduct,fixed,0.03854058438454058
median,14,21,InnerProduct,optimized,0.12524780136737815
median,14,21,Manhattan,fixed,0.05588643892870685
median,14,21,Manhattan,optimized,0.120346277107756
min,14,21,Euclidean,fixed,0.2386193261775624
min,14,21,Euclidean,optimized,0.3319028918187523
min,14,21,InnerProduct,fixed,0.15520214108527092
min,14,21,InnerProduct,optimized,0.24147776875424035
min,14,21,Manhattan,fixed,0.229690733184499
min,14,21,Manhattan,optimized,0.3070790226369587
max,15,19,Euclidean,fixed,0.053492907662976374
max,15,19,Euclidean,optimized,0.053080252473171316
max,15,19,InnerProduct,fixed,0.05356478104608468
max,15,19,InnerProduct,optimized,0.0570451708414596
max,15,19,Manhattan,fixed,0.05349930334320538
max,15,19,Manhattan,optimized,0.05174871784222825
mean,15,19,Euclidean,fixed,0.14403938237054414
mean,15,19,Euclidean,optimized,0.26388148854664417
mean,15,19,InnerProduct,fixed,0.07840522196310659
mean,15,19,InnerProduct,optimized,0.15048953247597163
mean,15,19,Manhattan,fixed,0.16559650881897744
mean,15,19,Manhattan,optimized,0.25952879133616574
median,15,19,Euclidean,fixed,0.059147804632161634
median,15,19,Euclidean,optimized,0.10184605009917713
median,15,19,InnerProduct,fixed,0.032649291645924124
median,15,19,InnerProduct,optimized,0.12091322600653269
median,15,19,Manhattan,fixed,0.04663444950023041
median,15,19,Manhattan,optimized,0.08921434128858693
min,15,19,Euclidean,fixed,0.23768772088315115
min,15,19,Euclidean,optimized,0.329202023995767
min,15,19,InnerProduct,fixed,0.15859943348556627
min,15,19,InnerProduct,optimized,0.22470656741919556
min,15,19,Manhattan,fixed,0.2313680281163511
min,15,19,Manhattan,optimized,0.305530560923916
max,16,18,Euclidean,fixed,0.04190247788324072
max,16,18,Euclidean,optimized,0.04622712743531536
max,16,18,InnerProduct,fixed,0.0423736396571132
max,16,18,InnerProduct,optimized,0.04988318647169264
max,16,18,Manhattan,fixed,0.04188778857233244
max,16,18,Manhattan,optimized,0.045786123068680504
mean,16,18,Euclidean,fixed,0.14134726313393842
mean,16,18,Euclidean,optimized,0.2824727845415456
mean,16,18,InnerProduct,fixed,0.07839605261965765
mean,16,18,InnerProduct,optimized,0.15711023534263985
mean,16,18,Manhattan,fixed,0.16672800580057534
mean,16,18,Manhattan,optimized,0.27665619741374603
median,16,18,Euclidean,fixed,0.051592244326946014
median,16,18,Euclidean,optimized,0.118580822968535
median,16,18,InnerProduct,fixed,0.02962431481480151
median,16,18,InnerProduct,optimized,0.1269200768607759
median,16,18,Manhattan,fixed,0.045994543150744
median,16,18,Manhattan,optimized,0.09569476925600619
min,16,18,Euclidean,fixed,0.23413735109972567
min,16,18,Euclidean,optimized,0.32150243384179117
min,16,18,InnerProduct,fixed,0.162687993076977
min,16,18,InnerProduct,optimized,0.2242918812458623
min,16,18,Manhattan,fixed,0.22926412797390175
min,16,18,Manhattan,optimized,0.29678400019968687
max,17,17,Euclidean,fixed,0.05121562870838153
max,17,17,Euclidean,optimized,0.055571300089997375
max,17,17,InnerProduct,fixed,0.05184129271571059
max,17,17,InnerProduct,optimized,0.053792426234747295
max,17,17,Manhattan,fixed,0.05153498320911704
max,17,17,Manhattan,optimized,0.05221439564598579
mean,17,17,Euclidean,fixed,0.1419616091450167
mean,17,17,Euclidean,optimized,0.2549275198169244
mean,17,17,InnerProduct,fixed,0.07821083188198928
mean,17,17,InnerProduct,optimized,0.15494630927602884
mean,17,17,Manhattan,fixed,0.1661099920521175
mean,17,17,Manhattan,optimized,0.24250071207751972
median,17,17,Euclidean,fixed,0.04866543559069354
median,17,17,Euclidean,optimized,0.10664935284099979
median,17,17,InnerProduct,fixed,0.03194049097000111
median,17,17,InnerProduct,optimized,0.12845629774980052
median,17,17,Manhattan,fixed,0.04567700985332665
median,17,17,Manhattan,optimized,0.10824210911816468
min,17,17,Euclidean,fixed,0.23987743670926837
min,17,17,Euclidean,optimized,0.3277244574201573
min,17,17,InnerProduct,fixed,0.16654828666897634
min,17,17,InnerProduct,optimized,0.24398379213909416
min,17,17,Manhattan,fixed,0.23388993382463052
min,17,17,Manhattan,optimized,0.3129525615096929
max,18,16,Euclidean,fixed,0.041344910497337815
max,18,16,Euclidean,optimized,0.04617175302510492
max,18,16,InnerProduct,fixed,0.041473073913709094
max,18,16,InnerProduct,optimized,0.03887096399575525
max,18,16,Manhattan,fixed,0.041344910497337815
max,18,16,Manhattan,optimized,0.04453352242648537
