configuration,fold,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,berlin_loss,sketchy_loss,classification_loss,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eFalse_dFalse_n0.25_mean_4,0,0.22030064542520875,0.24869076211249141,0.19630028835403968,0.22502153013209472,0.2204298620529032,0.24517083558828107,5.180349688688103,3.9346570065230613,1.7655964882617095,2.842063191797052,0.16331343670980056,0.5879224733695084
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eFalse_dFalse_n0.25_mean_4,3,0.21140166595429127,0.31212989352019405,0.2681447333521597,0.24733634045193081,0.21236361196046116,0.3149072090478153,4.7746658091520775,3.217905307425305,1.6262609088968258,2.4197977332436307,0.28135017801973283,0.6410993933698961
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eFalse_dFalse_n0.25_mean_4,1,0.2154543692774357,0.2130311986051891,0.21100879519736163,0.21708815750164798,0.21487876793588764,0.21199366220128643,5.0245239682489515,3.768951010281701,1.7302913219582061,2.743608734282912,0.1874870710905109,0.6029232575023661
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eFalse_dFalse_n0.25_mean_4,3,0.2047881240095657,0.21644827386803284,0.2255006357760646,0.2156294596038845,0.20038170648333845,0.21851283347290487,5.263768945557731,3.770224158520985,1.6878741202098984,2.7254180729060757,0.18543680906903987,0.608443508268315
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,3,0.2046562969449481,0.2130721548434477,0.19045029920932682,0.18481415931791503,0.20266714400953037,0.21612277784920728,4.927869059275608,3.144268635301984,1.7041934407730492,2.424611743619247,0.28224719954631766,0.5933960994366481
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eFalse_dFalse_n0.25_mean_4,1,0.19918221071716463,0.3468819038740352,0.24244367662557764,0.24260341891237952,0.19849175015099926,0.33375637465477087,5.0547825908855515,2.6286695308415333,1.7307188883411642,2.183790556197264,0.4043866747982648,0.6509604602906168
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eFalse_dFalse_n0.25_mean_4,2,0.20152638307412674,0.2200629644890634,0.21142254944967626,0.20344421417460978,0.1985008866802302,0.2183376960854066,5.226530067662804,3.763946994953714,1.6911981124281883,2.7228782984079145,0.1862649856007525,0.6080654862976196
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eFalse_dFalse_n0.25_mean_4,0,0.22219190697600952,0.25489276818433326,0.23847581250243463,0.21480059497772733,0.21808438447747955,0.24904957575346595,5.276027696753035,3.605086840704301,1.7549414618112602,2.6756438284869097,0.21610845879389315,0.6130847952606119
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eFalse_dFalse_n0.25_mean_4,1,0.20684906396036926,0.2188319007178438,0.1634035622488762,0.20429320598084622,0.2033053958372333,0.2177714919660742,5.213852008617654,3.6862757183740826,1.7070408432933748,2.693061666666245,0.19926623238106164,0.6061147800361624
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eFalse_dFalse_n0.25_mean_4,4,0.20074977808949843,0.3386711397766542,0.26661893297059586,0.21284556332510401,0.19931142734485907,0.33105520419695056,5.103042787532417,2.67481032777073,1.7321581959833905,2.2063094321635304,0.4027847616794158,0.6501041024138733
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eFalse_dFalse_n0.25_mean_4,2,0.21398860894510363,0.32131804244939904,0.27329773583839945,0.21034844282245585,0.21361531646509738,0.32262197286527927,5.063830799676934,2.703152828234014,1.7162340047450697,2.21346158681597,0.3906542633260999,0.6535695653156358
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eFalse_dFalse_n0.25_mean_4,0,0.20871161070501568,0.334801213488965,0.2530002835426766,0.22753953733401766,0.20899223267425113,0.338198505626552,4.994456181630796,2.706860519250375,1.6818618120015885,2.1975889126415153,0.3911388589070768,0.656263756638887
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eFalse_dFalse_n0.25_mean_4,4,0.2229724276160225,0.22377803121238302,0.20409896866186192,0.17227956401559108,0.22170114483446288,0.22875126143256952,5.256326157640438,3.67190997136062,1.738492797358912,2.6996870906170534,0.1973807183069234,0.6000918603992583
