pairID,pairType,visualType,ratingType,aggregator,ratings
asparagus-church,between,Mix,conceptual,median,1.0
bell pepper-church,between,Mix,conceptual,median,1.0
broccoli-church,between,Mix,conceptual,median,1.0
carrot-church,between,Mix,conceptual,median,1.0
church-onion,between,Mix,conceptual,median,1.0
church-dandelion,between,Mix,conceptual,median,1.5
church-palm tree,between,Mix,conceptual,median,1.0
church-rose,between,Mix,conceptual,median,1.0
church-sunflower,between,Mix,conceptual,median,1.0
church-tulip,between,Mix,conceptual,median,1.0
church-cow,between,Mix,conceptual,median,1.0
church-donkey,between,Mix,conceptual,median,1.0
church-goat,between,Mix,conceptual,median,1.0
church-horse,between,Mix,conceptual,median,1.0
church-stag,between,Mix,conceptual,median,1.0
church-eagle,between,Mix,conceptual,median,1.0
church-owl,between,Mix,conceptual,median,1.0
church-parrot,between,Mix,conceptual,median,1.0
church-pigeon,between,Mix,conceptual,median,1.0
church-stork,between,Mix,conceptual,median,1.0
axe-church,between,Mix,conceptual,median,1.0
church-hammer,between,Mix,conceptual,median,1.5
church-pliers,between,Mix,conceptual,median,1.0
church-saw,between,Mix,conceptual,median,1.0
church-shovel,between,Mix,conceptual,median,1.0
church-dishwasher,between,Mix,conceptual,median,1.0
church-microwave,between,Mix,conceptual,median,1.0
church-television,between,Mix,conceptual,median,1.0
church-toaster,between,Mix,conceptual,median,1.0
church-washing machine,between,Mix,conceptual,median,1.0
blouse-church,between,Mix,conceptual,median,1.0
church-coat,between,Mix,conceptual,median,1.0
church-jacket,between,Mix,conceptual,median,1.0
church-shirt,between,Mix,conceptual,median,1.0
church-uniform,between,Mix,conceptual,median,1.0
igloo-lighthouse,within ,Mix,conceptual,median,1.5
igloo-pyramid,within ,Mix,conceptual,median,5.0
igloo-windmill,within ,Mix,conceptual,median,4.0
bicycle-igloo,between,Mix,conceptual,median,1.0
bus-igloo,between,Mix,conceptual,median,1.0
car-igloo,between,Mix,conceptual,median,1.0
igloo-scooter,between,Mix,conceptual,median,1.0
igloo-tractor,between,Mix,conceptual,median,1.0
ant-igloo,between,Mix,conceptual,median,1.0
butterfly-igloo,between,Mix,conceptual,median,1.0
dragonfly-igloo,between,Mix,conceptual,median,1.0
fly-igloo,between,Mix,conceptual,median,1.0
igloo-ladybug,between,Mix,conceptual,median,1.0
apple-igloo,between,Mix,conceptual,median,1.0
banana-igloo,between,Mix,conceptual,median,1.0
cherry-igloo,between,Mix,conceptual,median,1.0
igloo-lemon,between,Mix,conceptual,median,1.0
igloo-raspberry,between,Mix,conceptual,median,1.0
asparagus-igloo,between,Mix,conceptual,median,1.0
bell pepper-igloo,between,Mix,conceptual,median,1.5
broccoli-igloo,between,Mix,conceptual,median,1.0
carrot-igloo,between,Mix,conceptual,median,1.0
igloo-onion,between,Mix,conceptual,median,1.0
dandelion-igloo,between,Mix,conceptual,median,1.0
igloo-palm tree,between,Mix,conceptual,median,1.0
igloo-rose,between,Mix,conceptual,median,1.0
igloo-sunflower,between,Mix,conceptual,median,1.0
igloo-tulip,between,Mix,conceptual,median,1.0
cow-igloo,between,Mix,conceptual,median,1.0
donkey-igloo,between,Mix,conceptual,median,1.0
goat-igloo,between,Mix,conceptual,median,1.0
horse-igloo,between,Mix,conceptual,median,1.0
igloo-stag,between,Mix,conceptual,median,1.0
eagle-igloo,between,Mix,conceptual,median,1.0
igloo-owl,between,Mix,conceptual,median,1.0
igloo-parrot,between,Mix,conceptual,median,1.0
igloo-pigeon,between,Mix,conceptual,median,1.0
igloo-stork,between,Mix,conceptual,median,1.0
axe-igloo,between,Mix,conceptual,median,1.0
hammer-igloo,between,Mix,conceptual,median,1.0
igloo-pliers,between,Mix,conceptual,median,1.0
igloo-saw,between,Mix,conceptual,median,1.0
igloo-shovel,between,Mix,conceptual,median,1.0
dishwasher-igloo,between,Mix,conceptual,median,1.0
igloo-microwave,between,Mix,conceptual,median,1.0
igloo-television,between,Mix,conceptual,median,1.0
igloo-toaster,between,Mix,conceptual,median,1.0
igloo-washing machine,between,Mix,conceptual,median,1.0
blouse-igloo,between,Mix,conceptual,median,1.0
coat-igloo,between,Mix,conceptual,median,1.0
igloo-jacket,between,Mix,conceptual,median,1.0
igloo-shirt,between,Mix,conceptual,median,1.0
igloo-uniform,between,Mix,conceptual,median,1.0
lighthouse-pyramid,within ,Mix,conceptual,median,5.0
lighthouse-windmill,within ,Mix,conceptual,median,5.0
bicycle-lighthouse,between,Mix,conceptual,median,1.0
bus-lighthouse,between,Mix,conceptual,median,1.0
car-lighthouse,between,Mix,conceptual,median,1.0
lighthouse-scooter,between,Mix,conceptual,median,1.5
lighthouse-tractor,between,Mix,conceptual,median,1.0
ant-lighthouse,between,Mix,conceptual,median,1.0
butterfly-lighthouse,between,Mix,conceptual,median,1.0
dragonfly-lighthouse,between,Mix,conceptual,median,1.0
fly-lighthouse,between,Mix,conceptual,median,1.0
ladybug-lighthouse,between,Mix,conceptual,median,1.0
apple-lighthouse,between,Mix,conceptual,median,1.0
banana-lighthouse,between,Mix,conceptual,median,1.0
cherry-lighthouse,between,Mix,conceptual,median,1.0
lemon-lighthouse,between,Mix,conceptual,median,1.0
lighthouse-raspberry,between,Mix,conceptual,median,1.0
asparagus-lighthouse,between,Mix,conceptual,median,1.0
bell pepper-lighthouse,between,Mix,conceptual,median,1.0
broccoli-lighthouse,between,Mix,conceptual,median,1.0
carrot-lighthouse,between,Mix,conceptual,median,1.0
lighthouse-onion,between,Mix,conceptual,median,1.0
dandelion-lighthouse,between,Mix,conceptual,median,1.0
lighthouse-palm tree,between,Mix,conceptual,median,1.0
lighthouse-rose,between,Mix,conceptual,median,1.0
lighthouse-sunflower,between,Mix,conceptual,median,1.0
lighthouse-tulip,between,Mix,conceptual,median,1.0
cow-lighthouse,between,Mix,conceptual,median,1.0
donkey-lighthouse,between,Mix,conceptual,median,1.0
goat-lighthouse,between,Mix,conceptual,median,1.0
